,PLAYER_ID,PLAYER_NAME,STARTER_GAMES,BENCH_GAMES,TOTAL_GAMES,PERCENT_STARTS,STARTER
82,201589,Darrell Arthur,4.0,54.0,58.0,0.06896551724137931,NO
83,201954,Darren Collison,45.0,0.0,45.0,1.0,YES
84,101135,David Lee,4.0,45.0,49.0,0.08163265306122448,NO
85,2561,David West,66.0,0.0,66.0,1.0,YES
86,201599,DeAndre Jordan,82.0,0.0,82.0,1.0,YES
87,201942,DeMar DeRozan,60.0,0.0,60.0,1.0,YES
88,202326,DeMarcus Cousins,59.0,0.0,59.0,1.0,YES
89,201960,DeMarre Carroll,69.0,1.0,70.0,0.9857142857142858,YES
90,203471,Dennis Schroder,10.0,67.0,77.0,0.12987012987012986,NO
91,101114,Deron Williams,55.0,13.0,68.0,0.8088235294117647,YES
92,202324,Derrick Favors,74.0,0.0,74.0,1.0,YES
93,201565,Derrick Rose,51.0,0.0,51.0,1.0,YES
94,202682,Derrick Williams,6.0,68.0,74.0,0.08108108108108109,NO
95,2734,Devin Harris,3.0,73.0,76.0,0.039473684210526314,NO
96,203906,Devyn Marble,7.0,9.0,16.0,0.4375,IN_BETWEEN
97,203473,Dewayne Dedmon,15.0,44.0,59.0,0.2542372881355932,IN_BETWEEN
98,203079,Dion Waiters,23.0,57.0,80.0,0.2875,IN_BETWEEN
99,1717,Dirk Nowitzki,77.0,0.0,77.0,1.0,YES
100,202388,Donald Sloan,21.0,32.0,53.0,0.39622641509433965,IN_BETWEEN
101,202700,Donatas Motiejunas,62.0,9.0,71.0,0.8732394366197183,YES
102,2748,Dorell Wright,2.0,46.0,48.0,0.041666666666666664,NO
103,203110,Draymond Green,79.0,0.0,79.0,1.0,YES
104,2400,Drew Gooden,7.0,44.0,51.0,0.13725490196078433,NO
105,2730,Dwight Howard,41.0,0.0,41.0,1.0,YES
106,2548,Dwyane Wade,62.0,0.0,62.0,1.0,YES
107,2853,Earl Barron,1.0,15.0,16.0,0.0625,NO
108,202334,Ed Davis,24.0,55.0,79.0,0.3037974683544304,IN_BETWEEN
109,203901,Elfrid Payton,63.0,19.0,82.0,0.7682926829268293,IN_BETWEEN
110,202407,Elijah Millsap,5.0,42.0,47.0,0.10638297872340426,NO
111,1882,Elton Brand,4.0,32.0,36.0,0.1111111111111111,NO
112,202683,Enes Kanter,74.0,1.0,75.0,0.9866666666666667,YES
113,202339,Eric Bledsoe,81.0,0.0,81.0,1.0,YES
114,201569,Eric Gordon,60.0,1.0,61.0,0.9836065573770492,YES
115,203475,Erick Green,1.0,42.0,43.0,0.023255813953488372,NO
116,101141,Ersan Ilyasova,36.0,22.0,58.0,0.6206896551724138,IN_BETWEEN
117,203095,Evan Fournier,32.0,26.0,58.0,0.5517241379310345,IN_BETWEEN
118,202323,Evan Turner,57.0,25.0,82.0,0.6951219512195121,IN_BETWEEN
119,203105,Festus Ezeli,7.0,39.0,46.0,0.15217391304347827,NO
120,203128,Furkan Aldemir,9.0,32.0,41.0,0.21951219512195122,IN_BETWEEN
