,PLAYER_ID,CENTER,FORWARD,GUARD
342,203081,,,G
343,203957,,,G
344,202721,,,G
345,201954,,,G
346,204065,,,G
347,201942,,,G
348,203471,,,G
349,101114,,,G
350,201565,,,G
351,2734,,,G
352,203079,,,G
353,202388,,,G
354,202779,,,G
355,2548,,,G
356,202734,,,G
357,203901,,,G
358,202407,,,G
359,202343,,,G
360,202339,,,G
361,201569,,,G
362,203475,,,G
363,203095,,,G
364,203539,,,G
365,202066,,,G
366,203914,,,G
367,202390,,,G
368,201588,,,G
369,201609,,,G
370,202349,,,G
371,203546,,,G
372,202697,,,G
373,203477,,,G
374,202738,,,G
375,202397,,,G
376,200826,,,G
377,200755,,,G
378,203913,,,G
379,203479,,,G
380,2037,,,G
381,2749,,,G
382,201935,,,G
383,2457,,,G
384,203099,,,G
385,101127,,,G
386,2202,,,G
387,1891,,,G
388,201952,,,G
389,202077,,,G
390,203087,,,G
391,202391,,,G
392,201573,,,G
393,202690,,,G
394,201975,,,G
395,203925,,,G
396,203098,,,G
397,101249,,,G
398,202322,,,G
399,203919,,,G
400,203903,,,G
401,200770,,,G
402,203268,,,G
403,101181,,,G
404,201950,,,G
405,203200,,,G
406,203564,,,G
407,202689,,,G
408,203088,,,G
409,203145,,,G
410,203484,,,G
411,2755,,,G
412,2550,,,G
413,202691,,,G
414,977,,,G
415,2594,,,G
416,200768,,,G
417,202681,,,G
418,202362,,,G
419,204038,,,G
420,203580,,,G
421,2571,,,G
422,201991,,,G
423,203485,,,G
424,101150,,,G
425,2557,,,G
426,202723,,,G
427,1938,,,G
428,203935,,,G
429,201977,,,G
430,201596,,,G
431,203900,,,G
432,203521,,,G
433,203487,,,G
434,201144,,,G
435,2590,,,G
436,101145,,,G
437,101126,,,G
438,203489,,,G
439,201979,,,G
440,203910,,,G
441,203917,,,G
442,202708,,,G
443,201564,,,G
444,203143,,,G
445,201976,,,G
446,203565,,,G
447,201988,,,G
448,203515,,,G
449,200765,,,G
450,201196,,,G
451,200751,,,G
452,203492,,,G
453,101109,,,G
454,203493,,,G
455,202704,,,G
456,203495,,,G
457,201937,,,G
458,201155,,,G
459,101179,,,G
460,203893,,,G
461,201566,,,G
462,203930,,,G
463,2742,,,G
464,203552,,,G
465,203894,,,G
466,203499,,,G
467,200769,,,G
468,2733,,,G
469,202714,,,G
470,203915,,,G
471,201939,,,G
472,2581,,,G
473,204025,,,G
474,203501,,,G
475,201962,,,G
476,2225,,,G
477,203100,,,G
478,203504,,,G
479,203584,,,G
480,201951,,,G
481,203898,,,G
482,204020,,,G
483,203505,,,G
484,203506,,,G
485,201961,,,G
486,202083,,,G
487,203115,,,G
488,101198,,,G
489,203805,,,G
490,2584,,,G
491,203897,,,G
