,PLAYER_ID,C,G,F,checker
0,1627773,1.0,0.0,0.0,1.0
1,201166,0.0,1.0,0.0,1.0
2,203932,0.0,0.0,1.0,1.0
3,1626151,0.0,1.0,0.0,1.0
4,203940,0.0,0.0,1.0,1.0
5,201143,1.0,0.0,0.0,1.0
6,2744,1.0,0.0,0.0,1.0
7,202329,0.0,0.0,1.0,1.0
8,101187,0.0,1.0,0.0,1.0
9,1626210,1.0,0.0,0.0,1.0
10,202692,0.0,1.0,0.0,1.0
11,203518,0.0,1.0,0.0,1.0
12,203458,1.0,0.0,0.0,1.0
13,1627816,0.0,0.0,1.0,1.0
14,201582,1.0,0.0,0.0,1.0
15,203459,0.0,1.0,0.0,1.0
16,202087,0.0,0.0,1.0,1.0
17,101161,0.0,0.0,1.0,1.0
18,2760,1.0,0.0,0.0,1.0
19,203083,1.0,0.0,0.0,1.0
20,2738,0.0,1.0,0.0,1.0
21,203460,0.0,0.0,1.0,1.0
22,101106,1.0,0.0,0.0,1.0
23,1626150,0.0,1.0,0.0,1.0
24,203094,0.0,0.0,1.0,1.0
25,203952,0.0,0.0,1.0,1.0
26,203461,0.0,0.0,1.0,1.0
27,1626148,0.0,0.0,1.0,1.0
28,203076,1.0,0.0,0.0,1.0
29,201627,0.0,1.0,0.0,1.0
30,201229,0.0,0.0,1.0,1.0
31,203462,0.0,1.0,0.0,1.0
32,202620,1.0,0.0,0.0,1.0
33,203382,1.0,0.0,0.0,1.0
34,201167,0.0,1.0,0.0,1.0
35,203085,0.0,1.0,0.0,1.0
36,202340,0.0,1.0,0.0,1.0
37,1626253,0.0,1.0,0.0,1.0
38,1627791,0.0,0.0,1.0,1.0
39,203463,0.0,1.0,0.0,1.0
40,2757,0.0,1.0,0.0,1.0
41,202687,1.0,0.0,0.0,1.0
42,201933,0.0,0.0,1.0,1.0
43,1626246,1.0,0.0,0.0,1.0
44,201628,0.0,1.0,0.0,1.0
45,1626171,0.0,0.0,1.0,1.0
46,202711,0.0,1.0,0.0,1.0
47,2564,1.0,0.0,0.0,1.0
48,203078,0.0,1.0,0.0,1.0
49,201148,0.0,0.0,1.0,1.0
50,101138,0.0,0.0,1.0,1.0
51,1627742,0.0,0.0,1.0,1.0
52,201943,0.0,1.0,0.0,1.0
53,202688,0.0,1.0,0.0,1.0
54,201575,0.0,1.0,0.0,1.0
55,203148,0.0,1.0,0.0,1.0
56,1627362,0.0,1.0,0.0,1.0
57,1627744,0.0,0.0,1.0,1.0
58,201572,1.0,0.0,0.0,1.0
59,203998,0.0,0.0,1.0,1.0
60,1627854,0.0,1.0,0.0,1.0
61,1627741,0.0,1.0,0.0,1.0
62,201228,0.0,1.0,0.0,1.0
63,203468,0.0,1.0,0.0,1.0
64,101139,0.0,1.0,0.0,1.0
65,203912,0.0,1.0,0.0,1.0
66,1626166,0.0,1.0,0.0,1.0
67,1627747,0.0,1.0,0.0,1.0
68,2546,0.0,0.0,1.0,1.0
69,202718,0.0,0.0,1.0,1.0
70,101112,0.0,0.0,1.0,1.0
71,1626184,0.0,1.0,0.0,1.0
72,1627767,0.0,0.0,1.0,1.0
73,1627778,1.0,0.0,0.0,1.0
74,2365,1.0,0.0,0.0,1.0
75,1626191,0.0,0.0,1.0,1.0
76,101108,0.0,1.0,0.0,1.0
77,1626174,0.0,0.0,1.0,1.0
78,203991,1.0,0.0,0.0,1.0
79,203469,1.0,0.0,0.0,1.0
80,202332,1.0,0.0,0.0,1.0
81,201147,0.0,0.0,1.0,1.0
82,202709,0.0,1.0,0.0,1.0
83,201584,0.0,1.0,0.0,1.0
84,1626245,1.0,0.0,0.0,1.0
85,1626156,0.0,1.0,0.0,1.0
86,201571,0.0,1.0,0.0,1.0
87,2563,0.0,1.0,0.0,1.0
88,1627745,1.0,0.0,0.0,1.0
89,203081,0.0,1.0,0.0,1.0
90,204014,0.0,0.0,1.0,1.0
91,1627849,0.0,0.0,1.0,1.0
92,201568,0.0,0.0,1.0,1.0
93,201980,0.0,1.0,0.0,1.0
94,201967,0.0,0.0,1.0,1.0
95,203957,0.0,1.0,0.0,1.0
96,1627863,0.0,0.0,1.0,1.0
97,203967,0.0,0.0,1.0,1.0
98,201589,0.0,0.0,1.0,1.0
99,201954,0.0,1.0,0.0,1.0
100,1626199,0.0,1.0,0.0,1.0
101,101135,1.0,0.0,0.0,1.0
102,1628021,0.0,1.0,0.0,1.0
103,2561,0.0,0.0,1.0,1.0
104,202722,0.0,0.0,1.0,1.0
105,201599,1.0,0.0,0.0,1.0
106,202732,0.0,1.0,0.0,1.0
107,1627761,0.0,1.0,0.0,1.0
108,201942,0.0,1.0,0.0,1.0
109,202326,1.0,0.0,0.0,1.0
110,201960,0.0,0.0,1.0,1.0
111,1627749,0.0,1.0,0.0,1.0
112,1626153,0.0,1.0,0.0,1.0
113,1627743,0.0,1.0,0.0,1.0
114,203471,0.0,1.0,0.0,1.0
115,1627756,0.0,1.0,0.0,1.0
116,101114,0.0,1.0,0.0,1.0
117,202324,1.0,0.0,0.0,1.0
118,1627884,0.0,0.0,1.0,1.0
119,201565,0.0,1.0,0.0,1.0
120,202682,0.0,0.0,1.0,1.0
121,1626164,0.0,1.0,0.0,1.0
122,2734,0.0,1.0,0.0,1.0
123,203473,1.0,0.0,0.0,1.0
124,1627738,0.0,0.0,1.0,1.0
125,1627754,1.0,0.0,0.0,1.0
126,203079,0.0,1.0,0.0,1.0
127,1717,0.0,0.0,1.0,1.0
128,1627734,0.0,0.0,1.0,1.0
129,202700,1.0,0.0,0.0,1.0
130,1627827,0.0,0.0,1.0,1.0
131,203926,0.0,0.0,1.0,1.0
132,1627733,0.0,0.0,1.0,1.0
133,203110,0.0,0.0,1.0,1.0
134,2730,1.0,0.0,0.0,1.0
135,203939,1.0,0.0,0.0,1.0
136,2548,0.0,1.0,0.0,1.0
137,202734,0.0,1.0,0.0,1.0
138,202334,0.0,0.0,1.0,1.0
139,204002,1.0,0.0,0.0,1.0
140,203901,0.0,1.0,0.0,1.0
141,202407,0.0,1.0,0.0,1.0
142,1626144,0.0,1.0,0.0,1.0
143,202683,1.0,0.0,0.0,1.0
144,202339,0.0,1.0,0.0,1.0
145,201569,0.0,1.0,0.0,1.0
146,101141,0.0,0.0,1.0,1.0
147,203095,0.0,1.0,0.0,1.0
148,202323,0.0,1.0,0.0,1.0
149,1626163,1.0,0.0,0.0,1.0
150,1627832,0.0,1.0,0.0,1.0
151,202066,0.0,1.0,0.0,1.0
152,203914,0.0,1.0,0.0,1.0
153,202390,0.0,1.0,0.0,1.0
154,1627780,0.0,1.0,0.0,1.0
155,201588,0.0,1.0,0.0,1.0
156,1627777,0.0,0.0,1.0,1.0
157,1627834,1.0,0.0,0.0,1.0
158,101123,0.0,0.0,1.0,1.0
159,201945,0.0,1.0,0.0,1.0
160,203507,0.0,1.0,0.0,1.0
161,203922,0.0,1.0,0.0,1.0
162,201609,0.0,1.0,0.0,1.0
163,202330,0.0,0.0,1.0,1.0
164,203476,1.0,0.0,0.0,1.0
165,202328,1.0,0.0,0.0,1.0
166,202349,0.0,1.0,0.0,1.0
167,203084,0.0,0.0,1.0,1.0
168,202355,1.0,0.0,0.0,1.0
169,1627740,0.0,0.0,1.0,1.0
170,203138,0.0,0.0,1.0,1.0
171,203546,0.0,1.0,0.0,1.0
172,101133,1.0,0.0,0.0,1.0
173,202697,0.0,1.0,0.0,1.0
174,203477,0.0,1.0,0.0,1.0
175,1627819,0.0,1.0,0.0,1.0
176,202738,0.0,1.0,0.0,1.0
177,1627785,0.0,1.0,0.0,1.0
178,202397,0.0,1.0,0.0,1.0
179,1627826,1.0,0.0,0.0,1.0
180,200826,0.0,1.0,0.0,1.0
181,200755,0.0,1.0,0.0,1.0
182,2747,0.0,1.0,0.0,1.0
183,203210,0.0,0.0,1.0,1.0
184,201580,1.0,0.0,0.0,1.0
185,203953,0.0,0.0,1.0,1.0
186,203109,0.0,0.0,1.0,1.0
187,1626143,1.0,0.0,0.0,1.0
188,1627774,0.0,0.0,1.0,1.0
189,1627751,1.0,0.0,0.0,1.0
190,2037,0.0,1.0,0.0,1.0
191,1627750,0.0,1.0,0.0,1.0
192,2749,0.0,1.0,0.0,1.0
193,203516,0.0,0.0,1.0,1.0
194,201935,0.0,1.0,0.0,1.0
195,201949,0.0,0.0,1.0,1.0
196,2592,0.0,1.0,0.0,1.0
197,203949,0.0,0.0,1.0,1.0
198,203923,0.0,1.0,0.0,1.0
199,201162,0.0,0.0,1.0,1.0
200,203096,1.0,0.0,0.0,1.0
201,204067,0.0,1.0,0.0,1.0
202,1626185,0.0,0.0,1.0,1.0
203,203950,1.0,0.0,0.0,1.0
204,101127,0.0,1.0,0.0,1.0
205,1627784,0.0,0.0,1.0,1.0
206,201160,1.0,0.0,0.0,1.0
207,1891,0.0,1.0,0.0,1.0
208,1627759,0.0,0.0,1.0,1.0
209,201145,0.0,0.0,1.0,1.0
210,201952,0.0,1.0,0.0,1.0
211,203481,1.0,0.0,0.0,1.0
212,203924,0.0,0.0,1.0,1.0
213,203087,0.0,1.0,0.0,1.0
214,202391,0.0,1.0,0.0,1.0
215,1626170,0.0,1.0,0.0,1.0
216,201573,0.0,1.0,0.0,1.0
217,202710,0.0,0.0,1.0,1.0
218,201149,1.0,0.0,0.0,1.0
219,201975,0.0,1.0,0.0,1.0
220,203925,0.0,1.0,0.0,1.0
221,204060,0.0,0.0,1.0,1.0
222,2207,0.0,1.0,0.0,1.0
223,1626202,0.0,1.0,0.0,1.0
